epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.7425,2.88419,4.6134,2.19467,0.67518,0.13937,0.18016,0.09768,1.99579,2.57652,1.5594,0.000368627,0.000368627,0.000368627
2,148.174,2.11491,2.74051,1.62864,0.57915,0.4125,0.38504,0.20583,1.9726,2.16416,1.56584,0.000724329,0.000724329,0.000724329
3,212.487,1.87934,2.13993,1.50633,0.70542,0.50205,0.52278,0.30132,1.69833,1.82853,1.39442,0.00106537,0.00106537,0.00106537
4,276.306,1.75258,1.87835,1.4511,0.76326,0.58641,0.60114,0.36071,1.54435,2.02998,1.32018,0.00104501,0.00104501,0.00104501
5,339.965,1.64718,1.71323,1.36933,0.50413,0.56097,0.57383,0.34658,1.61052,1.76392,1.30296,0.00102301,0.00102301,0.00102301
6,401.742,1.61359,1.65113,1.36427,0.79783,0.52244,0.61447,0.37385,1.41097,1.31829,1.21877,0.00100101,0.00100101,0.00100101
7,464.203,1.5323,1.50546,1.30698,0.78835,0.57469,0.64177,0.37974,1.38855,1.46369,1.22289,0.000979013,0.000979013,0.000979013
8,529.487,1.50979,1.45882,1.28581,0.7709,0.6111,0.62704,0.37804,1.43851,1.45936,1.24959,0.000957015,0.000957015,0.000957015
9,590.954,1.45432,1.40313,1.27118,0.64156,0.65529,0.6604,0.4028,1.32627,1.45534,1.15839,0.000935018,0.000935018,0.000935018
10,655.653,1.40692,1.33618,1.23737,0.73331,0.5835,0.64474,0.41078,1.41397,1.22203,1.20242,0.00091302,0.00091302,0.00091302
11,717.9,1.3865,1.31104,1.21967,0.76931,0.5911,0.64588,0.43302,1.32901,1.50001,1.13459,0.000891022,0.000891022,0.000891022
12,782.17,1.33717,1.26563,1.19161,0.72345,0.60936,0.66223,0.43605,1.31053,1.20752,1.13348,0.000869024,0.000869024,0.000869024
13,845.163,1.31506,1.22697,1.17721,0.75679,0.63774,0.66785,0.44106,1.23363,1.08873,1.06253,0.000847026,0.000847026,0.000847026
