epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.341,2.00516,7.2983,0.87546,0.69633,0.50068,0.5336,0.22837,1.92973,1.26955,0.86077,0.000554931,0.000554931,0.000554931
2,337.194,1.9806,2.12102,0.88424,0.70594,0.49052,0.52888,0.20723,1.99773,1.34786,0.85402,0.00108861,0.00108861,0.00108861
3,502.354,1.96666,1.49142,0.89039,0.70706,0.52767,0.58991,0.25352,1.86088,1.20383,0.85791,0.00160028,0.00160028,0.00160028
4,671.124,1.89925,1.38083,0.87113,0.72,0.46789,0.56061,0.25904,1.86233,1.32085,0.85562,0.00156798,0.00156798,0.00156798
5,835.844,1.84222,1.26405,0.86029,0.74555,0.53753,0.61915,0.2775,1.81066,1.09983,0.8456,0.00153497,0.00153497,0.00153497
6,1002.48,1.81455,1.21589,0.86137,0.74361,0.56103,0.63119,0.28356,1.81646,1.08226,0.85268,0.00150197,0.00150197,0.00150197
7,1167.51,1.75419,1.1648,0.85274,0.68211,0.53522,0.58748,0.27029,1.7339,1.15578,0.83567,0.00146896,0.00146896,0.00146896
8,1333.81,1.7219,1.13253,0.84837,0.67345,0.58908,0.63111,0.30331,1.63576,1.06867,0.82525,0.00143595,0.00143595,0.00143595
9,1501.69,1.64993,1.08211,0.846,0.76778,0.56785,0.6662,0.32453,1.64934,0.99311,0.8377,0.00140295,0.00140295,0.00140295
10,1670.63,1.67171,1.03895,0.84942,0.79055,0.60379,0.69471,0.34877,1.58691,0.9357,0.8288,0.00136994,0.00136994,0.00136994
11,1838.21,1.6706,1.04751,0.84289,0.78114,0.60804,0.68786,0.33339,1.61996,0.93491,0.82821,0.00133693,0.00133693,0.00133693
12,2000.76,1.59634,0.97707,0.84147,0.80577,0.63849,0.72226,0.35584,1.55964,0.9061,0.82439,0.00130393,0.00130393,0.00130393
13,2166.69,1.61121,0.98301,0.83741,0.81498,0.63533,0.71951,0.35454,1.55409,0.84254,0.82233,0.00127092,0.00127092,0.00127092
14,2329.31,1.60594,0.98191,0.8354,0.76811,0.65545,0.72611,0.36126,1.52047,0.83244,0.81862,0.00123791,0.00123791,0.00123791
15,2495.22,1.56367,0.95176,0.83307,0.80851,0.63381,0.73107,0.37884,1.51917,0.90452,0.82528,0.00120491,0.00120491,0.00120491
16,2658.9,1.54297,0.94966,0.83518,0.8034,0.6376,0.72514,0.35255,1.54086,0.8159,0.81965,0.0011719,0.0011719,0.0011719
17,2824.12,1.54164,0.8992,0.8356,0.80588,0.64746,0.74513,0.37187,1.53479,0.83358,0.82197,0.00113889,0.00113889,0.00113889
18,2991.85,1.51211,0.91208,0.83193,0.75466,0.64131,0.71751,0.35589,1.54209,0.79829,0.81622,0.00110589,0.00110589,0.00110589
19,3160.73,1.52846,0.90727,0.82542,0.80156,0.67068,0.75401,0.39347,1.45912,0.75886,0.81225,0.00107288,0.00107288,0.00107288
20,3328.59,1.50081,0.86171,0.83055,0.78475,0.65507,0.73393,0.36715,1.53559,0.79007,0.81661,0.00103987,0.00103987,0.00103987
21,3492.85,1.4878,0.87904,0.8262,0.7995,0.66208,0.74683,0.38299,1.46081,0.79238,0.81236,0.00100687,0.00100687,0.00100687
22,3655.38,1.46662,0.84702,0.82322,0.80483,0.63778,0.73365,0.38837,1.45918,0.7591,0.81138,0.000973861,0.000973861,0.000973861
23,3819.12,1.48373,0.84848,0.8279,0.82464,0.6323,0.73925,0.40429,1.41223,0.74114,0.80929,0.000940855,0.000940855,0.000940855
24,3982.44,1.41798,0.79052,0.82559,0.84536,0.62999,0.72502,0.40172,1.39918,0.74091,0.80998,0.000907848,0.000907848,0.000907848
25,4148.98,1.4665,0.82501,0.82486,0.81757,0.67475,0.75653,0.42562,1.37936,0.71814,0.8091,0.000874842,0.000874842,0.000874842
26,4315.3,1.45117,0.79412,0.82742,0.84844,0.66632,0.76984,0.41978,1.36471,0.72291,0.80889,0.000841835,0.000841835,0.000841835
27,4481.09,1.4349,0.80853,0.81886,0.82316,0.67403,0.76009,0.41653,1.37623,0.67515,0.81001,0.000808828,0.000808828,0.000808828
28,4645.28,1.41978,0.79538,0.82351,0.81594,0.64867,0.74959,0.41762,1.36177,0.68721,0.80682,0.000775822,0.000775822,0.000775822
29,4810.91,1.3999,0.78301,0.81664,0.84923,0.68326,0.7799,0.43396,1.35253,0.69008,0.80985,0.000742815,0.000742815,0.000742815
30,4976.2,1.38728,0.77123,0.8196,0.83699,0.66958,0.7689,0.42406,1.36779,0.72677,0.80868,0.000709809,0.000709809,0.000709809
